model,mae,rmse,smape,mase,mase_std,n_obs
sarimax,2.6289981907704254,3.105866906230046,22.275680199545835,0.7857069933502551,0.3733369170711006,162
xgb_global,2.6742412215897016,3.2019696664828707,22.96733877939627,0.7935579940645408,0.3618800014503166,168
lgbm_global,2.6716674825468445,3.1749575645808092,21.775299129462525,0.7996786521917184,0.38082542215796206,168
ets,2.77011323778717,3.2785293192477867,22.88596627782736,0.8260844256305621,0.3904655387744699,162
naive,2.9550595238095236,3.444228276022628,26.099097826706128,0.8844979528838048,0.48025984348218786,162
drift,3.016510947022894,3.521841437785197,27.671114833590465,0.8984321770359966,0.488871575243233,162
seasonal_naive,3.673809523809524,4.227443472599887,26.816957913464652,1.115062999912465,0.46885173709633754,162
climatology,4.792753554416092,5.33458325678824,29.567390262418996,1.5270533117295197,0.9889026425803249,162
