index,temperature_celsius,feels_like_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,visibility_km,uv_index,gust_kph,air_quality_carbon_monoxide,air_quality_ozone,air_quality_nitrogen_dioxide,air_quality_sulphur_dioxide,air_quality_pm2_5,air_quality_pm10,air_quality_us_epa_index,air_quality_gb_defra_index
temperature_celsius,1.0,0.9768491411301636,0.1790594721165951,-0.015668633602449387,-0.482977765180803,0.05608856864114838,-0.3260859248082831,-0.09277775113251692,0.07142319831050595,0.4540173443631157,0.14419203895339186,0.029461421145994232,0.18782496182324132,-0.29333190646826657,-0.10735481864014165,0.08313880855651987,0.1409271564496296,0.09996876511851217,0.09620786625564828
feels_like_celsius,0.9768491411301636,1.0,0.15890223331109912,-0.018710598757903377,-0.4997187699958104,0.1303259218544875,-0.2066764130644011,-0.018707518067762094,0.07147948525085852,0.37380942350166435,0.1443947299779061,0.012545503711485181,0.11517984845437354,-0.31403063348806626,-0.1348629550813861,0.03891443973636869,0.09218116712906128,0.05780102737503126,0.05352397208092685
wind_kph,0.1790594721165951,0.15890223331109912,1.0,-0.003387144246743291,-0.16172691365813807,0.054556553212969976,-0.15539197233277244,0.0064382443739220505,0.12929473052414103,0.08834091944307958,0.9153230919045624,-0.25861854682880303,0.2035369374393491,-0.2529906597074957,-0.17189510342072153,-0.11954573685524032,-0.024065077399305072,-0.10930558350028752,-0.11590413990379837
wind_degree,-0.015668633602449387,-0.018710598757903377,-0.003387144246743291,1.0,-0.07976420096693622,-0.0008302603862331307,-0.029868861988013695,0.00813365034940176,-0.06344745032575916,0.09593036658374846,-0.020952279260931943,0.09517972994025098,0.04835986312113152,0.1439741611390606,0.09766703143948972,0.03609674919896785,0.034397358650525234,0.04493291032969069,0.04286848783136091
pressure_mb,-0.482977765180803,-0.4997187699958104,-0.16172691365813807,-0.07976420096693622,1.0,-0.22220389701454832,-0.03239436826648407,-0.1287054536701147,0.02139436585788466,-0.031184831013067453,-0.1866199413239027,0.06656211094977288,-0.06255490290532202,0.14884442635110257,0.08797957565536704,0.053970832385730375,0.015702133881340966,0.024547976931067757,0.0349060540143671
precip_mm,0.05608856864114838,0.1303259218544875,0.054556553212969976,-0.0008302603862331307,-0.22220389701454832,1.0,0.3602027572850418,0.5287182074956974,-0.09925653941570345,-0.11718818541413138,0.08573268047105245,-0.08879822977460547,-0.13726790696273636,-0.1754704548275217,-0.19711698683419887,-0.23902221399832482,-0.24812131748865573,-0.206062477411202,-0.21843188502914374
humidity,-0.3260859248082831,-0.2066764130644011,-0.15539197233277244,-0.029868861988013695,-0.03239436826648407,0.3602027572850418,1.0,0.4952636676999876,-0.20787580314407111,-0.5902775388694498,-0.03714517605952115,-0.15016333212184144,-0.39735074663059294,-0.06684483488684587,-0.18846453256589232,-0.26012762212284746,-0.29857433331320105,-0.2603916399120739,-0.2625438816868232
cloud,-0.09277775113251692,-0.018707518067762094,0.0064382443739220505,0.00813365034940176,-0.1287054536701147,0.5287182074956974,0.4952636676999876,1.0,-0.13231898907953307,-0.20395209030121483,0.03050423994369093,-0.0830800387679259,-0.19228736759142415,-0.15667993910535102,-0.18694653810233045,-0.257470704382434,-0.2814502582186941,-0.22987468868126407,-0.23889010704964353
visibility_km,0.07142319831050595,0.07147948525085852,0.12929473052414103,-0.06344745032575916,0.02139436585788466,-0.09925653941570345,-0.20787580314407111,-0.13231898907953307,1.0,0.037821210424371025,0.11913384724990182,-0.12967310239455798,0.053820739946407375,-0.1114127791889593,-0.10950558172521029,-0.15824160667076867,-0.139443060601161,-0.15007692597156233,-0.15360556902116548
uv_index,0.4540173443631157,0.37380942350166435,0.08834091944307958,0.09593036658374846,-0.031184831013067453,-0.11718818541413138,-0.5902775388694498,-0.20395209030121483,0.037821210424371025,1.0,-0.03252533027387067,0.17878339628343906,0.31879851143338234,-0.03813745418832835,0.06724013432800494,0.13326734634179582,0.16579564817617026,0.15631119114751715,0.15297914471560686
