continent,mean,std,p10,p50,p90,n_countries,n_cities
Oceania,24.88563609071207,5.377260478357005,14.979482299183982,27.16837944664032,28.3727327695889,12,19
Unknown,27.035729583795625,6.942857275193484,18.36,26.1,36.66,24,26
Africa,24.961730875339114,2.9311224766407538,21.060314610637267,25.31491507458712,28.27240379152536,50,60
Asia,24.538898938570686,6.90051265639046,16.671785865231776,25.290078353357938,31.212335092348283,46,66
North America,22.725835346022176,5.26018522380466,17.40185802339232,24.47197875166003,27.056390515335316,23,35
South America,17.742217670509387,4.9104476655001745,11.360952380952382,17.629811435073144,24.16987749260867,12,20
Europe,13.363227451858496,4.310646688079868,8.841317279393207,12.517758229304633,19.01861826122418,44,60
