country,location_name,n_obs,first_date,last_date,span_days,n_gaps
Albania,Tirana,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Central African Republic,Bangui,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Sweden,Stockholm,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Benin,Porto-Novo,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Thailand,Nan,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Thailand,Bangkok,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
South Korea,Seoul,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Syria,Damascus,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Malaysia,Kuala Lumpur,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Gabon,Libreville,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Mauritius,Port Louis,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Mali,Bamako,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
France,Paris,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Nepal,Kathmandu,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Denmark,Copenhagen,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Portugal,Lisbon,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Saudi Arabia,Riyadh,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Saint Lucia,Castries,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
New Zealand,Wellington,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,11
Mongolia,Ulaanbaatar,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Mauritania,Nouakchott,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Guinea,Conakry,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Kazakhstan,Astana,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Kyrghyzstan,Bishkek,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Lebanon,Beirut,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Lithuania,Vilnius,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Liechtenstein,Vaduz,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Liberia,Monrovia,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Guinea-Bissau,Bissau,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Israel,Jerusalem,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Vietnam,Hanoi,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Iran,Tehran,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Belarus,Minsk,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Uruguay,Montevideo,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Bangladesh,Dhaka,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Azerbaijan,Baku,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Austria,Vienna,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,5
Australia,Canberra,758,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Argentina,Buenos Aires,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Belgium,Brussels,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Barbados,Bridgetown,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
United Kingdom,London,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Indonesia,Laos,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
India,New Delhi,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Venezuela,Caracas,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Kuwait,Kuwait City,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Latvia,Riga,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Lesotho,Maseru,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Kiribati,Tarawa,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Saint Kitts and Nevis,Basseterre,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Somalia,Mogadishu,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Sudan,Khartoum,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Canada,Ottawa,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Tunisia,Tunis,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Romania,Bucharest,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Philippines,Manila,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Czech Republic,Prague,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Qatar,Doha,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Montenegro,Podgorica,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Norway,Oslo,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
North Korea,Pyongyang,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Pakistan,Islamabad,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Morocco,Rabat,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Estonia,Tallinn,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Egypt,Cairo,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Zimbabwe,Harare,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Brunei Darussalam,Bandar Seri Begawan,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Algeria,Algiers,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Turkey,Ankara,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Bhutan,Thimphu,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Tajikistan,Dushanbe,757,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,6
Ethiopia,Addis Ababa,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Comoros,Moroni,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Djibouti,Djibouti,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Croatia,Zagreb,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Georgia,Tbilisi,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Micronesia,Palikir,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,11
Panama,Panama City,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Dominican Republic,Santo Domingo,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Congo,Brazzaville,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Democratic Republic of Congo,Kinshasa,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Ireland,Dublin,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Luxembourg,Luxembourg,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Haiti,Port-Au-Prince,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Chile,Santiago,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Cambodia,Phnom Penh,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Sierra Leone,Freetown,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Turkey,Yaren,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Sudan,Juba,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Trinidad and Tobago,Port Of Spain,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
