country,location_name,n_obs,first_date,last_date,span_days,n_gaps
Marrocos,Morocco City,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Malásia,Ivory Ivory Ban,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Estonie,Tallinn,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
China,Beijing Shi,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Saint-Vincent-et-les-Grenadines,Kingstown,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Russia,Saint Petersburg,1,2024-06-25 00:00:00+00:00,2024-06-25 00:00:00+00:00,0,0
Saudi Arabien,Ar Riyadh,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
San Marino,City Of San Marino,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Südkorea,Seoul,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Bélgica,Bern,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Turkménistan,Krasnyy Turkmenistan,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
USA United States of America,Palau,1,2024-06-25 00:00:00+00:00,2024-06-25 00:00:00+00:00,0,0
USA United States of America,Moroni,1,2024-06-25 00:00:00+00:00,2024-06-25 00:00:00+00:00,0,0
USA United States of America,Grenada,1,2024-06-25 00:00:00+00:00,2024-06-25 00:00:00+00:00,0,0
Гватемала,New Guatemala,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Польша,Beirut,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Турция,Yaren,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
كولومبيا,Costa Rica,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
火鸡,-Kingdom,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
